CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_Hessiana_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.001004,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,6163485
CPU_CLOCKS_UNHALTED,PMC1,5094083
RETIRED_UOPS,PMC2,6516465
RETIRED_FLOPS_DOUBLE_ALL,PMC3,22899
TABLE,Region NewtonInexato_Hessiana_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0010,
Runtime unhalted [s],0.0015,
DP [MFLOP/s],22.8142,
CPI,0.8265,
CPI (based on uops),0.7817,
IPC,1.2099,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonInexato_SL_64,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.012100,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,55016420
CPU_CLOCKS_UNHALTED,PMC1,45776480
RETIRED_UOPS,PMC2,55473170
RETIRED_FLOPS_DOUBLE_ALL,PMC3,12967810
TABLE,Region NewtonInexato_SL_64,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0121,
Runtime unhalted [s],0.0131,
DP [MFLOP/s],1071.7260,
CPI,0.8321,
CPI (based on uops),0.8252,
IPC,1.2018,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_100,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.039588,
call count,1,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,87059460
CPU_CLOCKS_UNHALTED,PMC1,64074100
RETIRED_UOPS,PMC2,89192680
RETIRED_FLOPS_DOUBLE_ALL,PMC3,34898900
TABLE,Region NewtonPadrao_100,Group 1 Metric,FLOPS_DP,6
Metric,HWThread 3,
Runtime (RDTSC) [s],0.0396,
Runtime unhalted [s],0.0183,
DP [MFLOP/s],881.5503,
CPI,0.7360,
CPI (based on uops),0.7184,
IPC,1.3587,
STRUCT,Info,3
CPU name:,AMD FX(tm)-6300 Six-Core Processor             ,
CPU type:,AMD Interlagos processor,
CPU clock:,3.500200851 GHz,
TABLE,Region NewtonPadrao_Gradiente_100,Group 1 Raw,FLOPS_DP,4
Region Info,HWThread 3,
RDTSC Runtime [s],0.000033,
call count,51,
Event,Counter,HWThread 3
RETIRED_INSTRUCTIONS,PMC0,446831
CPU_CLOCKS_UNHALTED,PMC1,1554584
